tephra_name,longitude,latitude,site,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,total,reference
Hekla 3 Tephra,-20.04,65.5,Audkula,63.85,0.49,14.48,5.86,0.21,0.49,3.71,4.56,1.9,,95.54,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,64.17,0.63,14.88,7.53,0.27,0.85,3.89,4.42,1.88,,98.51,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,72.54,0.15,13.97,3.17,0.05,0.14,2.09,4.51,2.43,,99.05,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,71.63,0.18,13.8,2.99,0.08,0.12,2.02,4.65,2.48,,97.96,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,72.3,0.13,13.93,2.91,0.05,0.14,2.16,4.62,2.57,,98.8,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,69.88,0.19,14.24,3.01,0.07,0.12,1.95,4.59,2.28,,96.33,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,70.12,0.23,14.04,3.11,0.13,0.11,1.94,4.61,2.48,,96.77,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,70.7,0.19,13.64,3.04,0.07,0.15,1.95,4.18,2.58,,96.5,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,72.2,0.22,13.73,3.03,0.09,0.13,2,4.66,2.44,,98.49,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,68.11,0.4,14.47,5.14,0.1,0.34,3.27,4.32,2.15,,98.3,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,64.71,0.5,14.52,5.91,0.19,0.42,3.32,4.45,2.17,,96.21,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,71.36,0.18,13.8,3.02,0.15,0.12,2.06,4.37,2.37,,97.42,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,72.1,0.18,13.93,3.01,0.09,0.12,2.01,4.67,2.42,,98.53,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,63.46,0.56,15.03,6.37,0.18,0.61,3.76,4.52,1.84,,96.34,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,63.16,0.68,16.83,5.82,0.15,0.65,4.91,5.34,1.33,,98.87,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,64.45,0.6,15.19,7.23,0.23,0.79,3.8,3.92,1.92,,98.12,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,65.22,0.43,14.81,6.66,0.13,0.58,3.57,4.53,1.83,,97.77,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,72.93,0.18,14.08,2.97,0.09,0.14,1.96,4.65,2.58,,99.58,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-20.04,65.5,Audkula,60.83,0.74,16.86,7.16,0.24,0.78,5.22,5.13,1.37,,98.32,"Boygle, J.E. (1994) Tephra in lake sediments: An unambiguous geochronological marker? PhD. Thesis, University of Edinburgh, Edinburgh"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,70.35,0.22,14,2.91,0.12,0.13,1.93,4.46,2.56,0.02,96.68,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,68.61,0.26,14.07,3.5,0.18,0.13,2.3,4.61,2.33,0.03,96.02,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
Hekla 3 Tephra,-17.181158,65.572438,Helluvaðstjörn,69.57,0.21,13.6,3.01,0.15,0.16,2.01,5.08,2.37,-0.01,96.15,"Lawson, I.T., Gathorne-Hardy, F.J., Church, M.J., Newton, A.J., Edwards, K.J., Dugmore, A.J. and Einarsson, A. (2007) Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland. Boreas  36 1-19"
