tephra_name,site,composition,longitude,latitude
Hekla 3 Tephra,1268,No geochemistry data,12.17,59.53
Hekla 3 Tephra,1269,No geochemistry data,12.08,59.38
Hekla 3 Tephra,1270,No geochemistry data,12.48,63.31
Hekla 3 Tephra,1271,No geochemistry data,12.26,59.85
Hekla 3 Tephra,1272,No geochemistry data,12.13,59.62
Hekla 3 Tephra,1273,No geochemistry data,12.67,59.63
Hekla 3 Tephra,1274,No geochemistry data,13.26,60.39
Hekla 3 Tephra,1275,No geochemistry data,12.66,60.21
Hekla 3 Tephra,1276,No geochemistry data,10.03,54.13
Hekla 3 Tephra,1277,No geochemistry data,10.03,54.13
Hekla 3 Tephra,1278,No geochemistry data,9.24,54.82
Hekla 3 Tephra,1279,No geochemistry data,-7.46,54.63
Hekla 3 Tephra,1280,No geochemistry data,-6.85,62.07
Hekla 3 Tephra,Audkula,Andesite,-20.04,65.50
Hekla 3 Tephra,Audkula,Dacite,-20.04,65.50
Hekla 3 Tephra,Audkula,Rhyolite,-20.04,65.50
Hekla 3 Tephra,Brúnavatn,Dacite,-6.86,62.07
Hekla 3 Tephra,Brúnavatn,Rhyolite,-6.86,62.07
Hekla 3 Tephra,Bæjarvötn,Andesite,-21.44,65.72
Hekla 3 Tephra,Bæjarvötn,Basaltic andesite,-21.44,65.72
Hekla 3 Tephra,Bæjarvötn,Dacite,-21.44,65.72
Hekla 3 Tephra,Fågelmossen,Andesite,12.17,59.53
Hekla 3 Tephra,Fågelmossen,Dacite,12.17,59.53
Hekla 3 Tephra,Fågelmossen,Rhyolite,12.17,59.53
Hekla 3 Tephra,Helluvaðstjörn,Dacite,-17.18,65.57
Hekla 3 Tephra,Helluvaðstjörn,Rhyolite,-17.18,65.57
Hekla 3 Tephra,Hreysiskvísl,Andesite,-18.40,64.68
Hekla 3 Tephra,Hreysiskvísl,Rhyolite,-18.40,64.68
Hekla 3 Tephra,Klocka Bog,Dacite,12.53,63.30
Hekla 3 Tephra,Klocka Bog,Rhyolite,12.53,63.30
Hekla 3 Tephra,Kortlandamossen (Håltebergsmossen),Andesite,12.29,59.85
Hekla 3 Tephra,Kortlandamossen (Håltebergsmossen),Dacite,12.29,59.85
Hekla 3 Tephra,Kortlandamossen (Håltebergsmossen),Rhyolite,12.29,59.85
Hekla 3 Tephra,Kárahnjúkar,Andesite,-15.78,64.94
Hekla 3 Tephra,Kárahnjúkar,Rhyolite,-15.78,64.94
Hekla 3 Tephra,Lake Belau,Dacite,10.27,54.10
Hekla 3 Tephra,Lake Belau,Rhyolite,10.27,54.10
Hekla 3 Tephra,Lake Furskogstjärnet,Dacite,12.34,59.38
Hekla 3 Tephra,Lögurinn,Dacite,-14.60,65.18
Hekla 3 Tephra,Lögurinn,Rhyolite,-14.60,65.18
Hekla 3 Tephra,Lögurinn ,Rhyolite,-14.60,65.18
Hekla 3 Tephra,MD99-2275,Basaltic andesite,-19.51,66.50
Hekla 3 Tephra,MD99-2275,Dacite,-19.51,66.50
Hekla 3 Tephra,MD99-2275,Rhyolite,-19.51,66.50
Hekla 3 Tephra,Nýidalur,Andesite,-17.99,64.69
Hekla 3 Tephra,Nýidalur,Rhyolite,-17.99,64.69
Hekla 3 Tephra,Orrastadir,Andesite,-20.19,65.55
Hekla 3 Tephra,Orrastadir,Basaltic andesite,-20.19,65.55
Hekla 3 Tephra,Orrastadir,Dacite,-20.19,65.55
Hekla 3 Tephra,Orrastadir,Rhyolite,-20.19,65.55
Hekla 3 Tephra,Saudárhraukar,Andesite,-15.79,64.83
Hekla 3 Tephra,Saudárhraukar,Rhyolite,-15.79,64.83
Hekla 3 Tephra,Slettadalur,Andesite,-19.95,65.50
